Intent	Eutterances	Jutterances
smalltalk_agent_acquaintance	who are you?	あなた は 誰 です か ？
smalltalk_agent_acquaintance	all about you	あなた の すべて
smalltalk_agent_acquaintance	what is your personality	あなた の 性格 は どのような もの です か
smalltalk_agent_acquaintance	define yourself	自分 を 定義 し て ください 。
smalltalk_agent_acquaintance	what are you	あなた は 何者 です か ？
smalltalk_agent_acquaintance	say about you	あなた に つい て 話し て ください 。
smalltalk_agent_acquaintance	introduce yourself	自己 紹介 を お 願い し ます 。
smalltalk_agent_acquaintance	describe yourself	あなた 自身 に つい て 説明 し て ください 。
smalltalk_agent_acquaintance	about yourself	あなた 自身 に つい て
smalltalk_agent_acquaintance	tell me about you	あなた に つい て 教え て ください 。
smalltalk_agent_acquaintance	tell me about yourself	自己 紹介 を お 願い し ます 。
smalltalk_agent_acquaintance	I want to know more about you	私 は あなた に つい て もっと 知り たい です 。
smalltalk_agent_acquaintance	I want to know you better	もっと あなた の こと を 知り たい です 。
smalltalk_agent_acquaintance	talk some stuff about yourself	あなた 自身 に つい て 少し 話し て ください 。
smalltalk_agent_acquaintance	tell me some stuff about you	あなた に つい て 何 か 教え て ください 。
smalltalk_agent_acquaintance	talk about yourself	自分自身 に つい て 話し て ください 。
smalltalk_agent_acquaintance	why are you here	なぜ ここ に いる の です か ？
smalltalk_agent_acquaintance	tell me about your personality	あなた の 性格 に つい て 教え て ください 。
smalltalk_agent_acquaintance	who are you	あなた は 誰 です か ？
smalltalk_agent_age	how old are you?	お いくつ です か ？
smalltalk_agent_age	how old is your platform	あなた の プラットフォーム は どれ くらい の 年数 が 経っ て い ます か 。
smalltalk_agent_age	are you 21 years old	あなた は 21 歳 です か
smalltalk_agent_age	i'd like to know your age	あなた の 年齢 を 教え て いただけ ます か ？
smalltalk_agent_age	age of yours	あなた の ご 年齢 は どう です か 。
smalltalk_agent_age	your age	あなた の 年齢
smalltalk_agent_age	what's your age	あなた の 年齢 は お いくつ です か ？
smalltalk_agent_age	tell me your age	年齢 を 教え て ください 。
